DateTime,ET,Year
7/20/17 0:00,-0.476,2017
7/21/17 0:00,-0.466,2017
7/22/17 0:00,-0.457,2017
7/23/17 0:00,-0.497,2017
7/24/17 0:00,-0.548,2017
7/25/17 0:00,-0.57,2017
7/26/17 0:00,-0.604,2017
7/27/17 0:00,-0.59,2017
7/28/17 0:00,-0.576,2017
7/29/17 0:00,-0.606,2017
7/30/17 0:00,-0.535,2017
7/31/17 0:00,-0.439,2017
8/1/17 0:00,-0.449,2017
8/2/17 0:00,-0.451,2017
8/3/17 0:00,-0.441,2017
8/4/17 0:00,-0.465,2017
8/5/17 0:00,-0.432,2017
8/6/17 0:00,-0.458,2017
8/7/17 0:00,-0.522,2017
8/8/17 0:00,-0.525,2017
8/9/17 0:00,-0.524,2017
8/10/17 0:00,-0.51,2017
8/11/17 0:00,-0.469,2017
8/12/17 0:00,-0.459,2017
8/13/17 0:00,-0.427,2017
8/14/17 0:00,-0.351,2017
8/15/17 0:00,-0.228,2017
8/16/17 0:00,-0.15,2017
8/17/17 0:00,-0.132,2017
8/18/17 0:00,-0.126,2017
8/19/17 0:00,-0.108,2017
8/20/17 0:00,-0.098,2017
8/21/17 0:00,-0.107,2017
8/22/17 0:00,-0.189,2017
8/23/17 0:00,-0.216,2017
8/24/17 0:00,-0.192,2017
8/25/17 0:00,-0.122,2017
8/26/17 0:00,-0.082,2017
8/27/17 0:00,-0.084,2017
8/28/17 0:00,-0.145,2017
8/29/17 0:00,-0.085,2017
8/30/17 0:00,-0.087,2017
8/31/17 0:00,-0.139,2017
9/1/17 0:00,-0.187,2017
9/2/17 0:00,-0.305,2017
9/3/17 0:00,-0.397,2017
9/4/17 0:00,-0.415,2017
9/5/17 0:00,-0.519,2017
9/6/17 0:00,-0.599,2017
9/7/17 0:00,-0.647,2017
9/8/17 0:00,-0.725,2017
9/9/17 0:00,-0.701,2017
9/10/17 0:00,-0.622,2017
9/11/17 0:00,-0.575,2017
9/12/17 0:00,-0.502,2017
9/13/17 0:00,-0.403,2017
9/14/17 0:00,-0.327,2017
9/15/17 0:00,-0.215,2017
9/16/17 0:00,-0.07,2017
9/17/17 0:00,0.063,2017
9/18/17 0:00,0.187,2017
9/19/17 0:00,0.241,2017
9/20/17 0:00,0.19,2017
9/21/17 0:00,0.167,2017
9/22/17 0:00,0.123,2017
9/23/17 0:00,0.052,2017
9/24/17 0:00,-0.039,2017
9/25/17 0:00,-0.033,2017
9/26/17 0:00,0.037,2017
9/27/17 0:00,0.149,2017
9/28/17 0:00,0.191,2017
9/29/17 0:00,0.226,2017
9/30/17 0:00,0.247,2017
